employee_id,age,department,job_level,education_field,tenure_years,monthly_income,overtime,job_satisfaction,worklife_balance,distance_from_home_km,years_since_last_promotion,trainings_last_year,attrition
EMP-0102,34,Finance,Senior,Technical,1.0,7230.68,No,4,2,1,1,2,No
EMP-0103,37,Marketing,Mid,Marketing,4.2,5210.84,No,4,2,8,3,1,No
EMP-0104,37,Sales,Senior,Other,8.1,8071.92,Yes,3,4,15,1,0,No
EMP-0105,35,Sales,Lead,Other,3.6,9549.02,No,2,2,7,1,0,No
EMP-0106,31,Marketing,Junior,Technical,2.9,3400.91,No,3,1,2,2,2,No
EMP-0107,30,Sales,Mid,Other,0.8,4517.47,No,3,4,1,0,1,No
EMP-0108,38,Engineering,Junior,Marketing,2.8,2952.12,No,4,1,24,0,1,Yes
EMP-0109,42,Sales,Mid,Marketing,0.9,4750.96,No,3,3,3,0,4,No
EMP-0110,34,Customer Support,Mid,Business,7.2,5028.63,No,1,4,9,1,1,No
EMP-0111,52,Engineering,Mid,Marketing,0.6,5135.26,No,4,1,1,0,2,No
EMP-0112,39,Customer Support,Junior,Technical,0.1,3145.17,Yes,2,3,3,0,3,No
EMP-0113,36,Marketing,Junior,Marketing,0.8,3028.7,No,1,3,4,0,2,No
EMP-0114,29,Engineering,Senior,Technical,5.8,6694.64,Yes,4,3,6,1,4,No
EMP-0115,34,Engineering,Junior,Other,1.5,2748.72,No,3,2,3,1,1,No
EMP-0116,43,Finance,Mid,Marketing,0.1,4459.28,No,4,3,6,0,4,No
EMP-0117,45,Engineering,Mid,Other,0.1,5488.4,No,3,1,15,0,1,No
EMP-0118,46,HR,Junior,Business,2.3,3768.37,Yes,3,3,13,2,3,No
EMP-0119,39,Finance,Junior,Business,7.9,3185.82,Yes,4,2,8,0,2,No
EMP-0120,39,Engineering,Junior,Business,0.5,3718.0,No,3,3,30,0,1,No
EMP-0121,31,Finance,Junior,Technical,10.0,3481.39,No,3,4,2,8,1,No
EMP-0122,37,Sales,Senior,Other,0.3,7317.74,No,2,3,8,0,1,No
EMP-0123,33,Sales,Lead,Other,9.3,11195.33,Yes,4,4,13,0,2,No
EMP-0124,36,Marketing,Junior,Technical,0.3,2727.96,No,3,3,24,0,3,No
EMP-0125,39,Sales,Senior,Business,1.9,7410.1,Yes,3,2,7,1,4,No
EMP-0126,22,Marketing,Junior,Technical,1.0,3333.12,No,2,3,2,1,3,Yes
EMP-0127,36,Sales,Junior,Marketing,0.4,2832.2,No,3,1,5,0,1,No
EMP-0128,23,Customer Support,Junior,Other,0.2,3538.07,No,1,3,14,0,1,No
EMP-0129,21,Customer Support,Junior,Marketing,0.0,2960.28,Yes,3,2,12,0,1,Yes
EMP-0130,35,Finance,Lead,Business,8.3,10295.51,No,4,4,2,3,3,No
EMP-0131,47,Sales,Senior,Technical,3.5,6287.14,Yes,3,4,2,3,1,No
EMP-0132,44,Customer Support,Junior,Other,1.5,2874.45,Yes,3,1,9,1,3,Yes
EMP-0133,21,Sales,Senior,Other,0.0,6846.78,Yes,1,2,1,0,5,Yes
EMP-0134,47,Customer Support,Mid,Other,2.9,5484.38,Yes,3,2,2,1,3,Yes
EMP-0135,38,Marketing,Junior,Technical,0.5,3647.98,No,1,4,7,0,4,No
EMP-0136,35,Marketing,Junior,Technical,10.4,3247.49,No,2,2,7,0,2,No
EMP-0137,21,Engineering,Junior,Business,0.0,3340.46,No,2,4,1,0,3,No
EMP-0138,35,Finance,Junior,Marketing,9.0,3226.19,No,3,4,1,2,3,No
EMP-0139,34,Engineering,Junior,Other,1.4,3328.93,Yes,1,1,8,0,2,Yes
EMP-0140,31,Marketing,Mid,Marketing,1.6,5385.84,No,2,4,1,1,3,No
EMP-0141,28,Customer Support,Mid,Business,6.1,5732.86,Yes,3,3,12,3,3,No
EMP-0142,31,Engineering,Junior,Other,3.7,3059.05,No,3,3,1,2,2,No
EMP-0143,38,Sales,Mid,Marketing,1.5,5635.63,Yes,2,3,1,0,3,Yes
EMP-0144,33,Marketing,Mid,Technical,6.7,5053.82,Yes,3,2,1,1,0,Yes
EMP-0145,24,Sales,Senior,Technical,1.1,7216.61,Yes,2,2,22,0,5,Yes
EMP-0146,32,Engineering,Junior,Other,2.8,3226.7,No,2,3,1,0,1,No
EMP-0147,29,Sales,Junior,Technical,3.7,3730.34,No,3,3,4,1,2,No
EMP-0148,39,Sales,Senior,Business,2.7,6848.28,No,2,3,6,0,2,No
EMP-0149,37,Engineering,Junior,Other,3.4,3283.91,No,3,3,3,0,3,No
EMP-0150,35,Customer Support,Mid,Marketing,0.8,5674.56,No,3,3,14,0,1,No
EMP-0151,37,Engineering,Junior,Technical,2.3,2915.62,No,4,3,11,2,3,No
EMP-0152,40,Customer Support,Senior,Other,8.9,8327.29,Yes,3,3,10,1,3,Yes
EMP-0153,37,Finance,Senior,Other,1.9,7666.42,No,1,2,2,1,1,Yes
EMP-0154,32,Sales,Senior,Technical,0.6,8427.3,No,4,4,27,0,2,No
EMP-0155,31,Sales,Senior,Other,4.8,7120.37,Yes,2,3,2,2,4,Yes
EMP-0156,21,HR,Senior,Technical,0.0,7721.69,Yes,3,4,13,0,3,No
EMP-0157,22,Marketing,Senior,Business,0.9,7903.51,No,3,3,11,0,0,No
EMP-0158,34,Finance,Mid,Technical,3.7,4164.8,No,3,3,3,1,0,No
EMP-0159,25,Sales,Junior,Marketing,2.2,3066.55,Yes,2,2,8,2,1,No
EMP-0160,31,Marketing,Mid,Other,7.1,4166.56,No,1,3,1,5,2,No
EMP-0161,26,Customer Support,Mid,Technical,1.3,4389.32,Yes,2,4,16,0,1,No
EMP-0162,27,Customer Support,Junior,Business,6.0,2962.92,Yes,4,3,29,0,1,Yes
EMP-0163,35,HR,Mid,Business,0.3,4843.12,No,1,3,37,0,5,Yes
EMP-0164,29,Customer Support,Junior,Other,0.0,2806.09,No,3,3,1,0,0,No
EMP-0165,46,Engineering,Junior,Marketing,4.1,3475.44,No,3,4,1,0,3,No
EMP-0166,39,Sales,Senior,Technical,10.4,7280.13,Yes,3,3,1,0,3,Yes
EMP-0167,41,HR,Lead,Other,9.1,11335.64,Yes,1,3,2,5,2,Yes
EMP-0168,39,Finance,Junior,Marketing,2.5,2927.0,No,4,4,23,2,3,No
EMP-0169,47,Finance,Mid,Technical,6.1,5136.2,Yes,1,4,17,1,0,Yes
EMP-0170,36,Sales,Junior,Marketing,0.4,3743.35,No,3,4,2,0,2,No
EMP-0171,31,Customer Support,Mid,Technical,1.5,4399.77,No,3,4,21,0,2,No
EMP-0172,28,Sales,Junior,Marketing,6.0,3100.69,No,2,2,1,0,2,No
EMP-0173,26,Marketing,Junior,Technical,2.6,3023.67,No,3,2,11,0,2,No
EMP-0174,28,HR,Junior,Marketing,2.8,2831.94,No,3,3,1,1,1,No
EMP-0175,32,Engineering,Mid,Business,1.0,4852.94,No,4,4,21,1,3,No
EMP-0176,21,Marketing,Mid,Marketing,0.0,4413.89,No,3,3,1,0,2,No
EMP-0177,34,Marketing,Lead,Business,3.1,9362.99,No,3,1,1,0,2,No
EMP-0178,28,Engineering,Junior,Other,3.1,3507.24,No,2,4,4,3,0,Yes
EMP-0179,37,Marketing,Mid,Technical,0.3,4805.14,No,3,2,17,0,1,Yes
EMP-0180,28,Sales,Junior,Marketing,3.3,2914.16,No,1,2,1,1,2,No
EMP-0181,27,Marketing,Junior,Marketing,0.9,2882.29,No,4,4,26,0,1,No
EMP-0182,24,Marketing,Senior,Technical,3.0,7327.8,No,3,3,3,3,2,No
EMP-0183,35,Customer Support,Senior,Other,0.2,6667.18,Yes,3,4,1,0,1,No
EMP-0184,28,Sales,Junior,Other,1.8,2806.83,No,3,3,1,1,1,No
EMP-0185,27,HR,Mid,Technical,1.9,5029.57,Yes,4,1,6,1,1,Yes
EMP-0186,32,Engineering,Mid,Business,0.1,4296.94,No,4,3,12,0,2,No
EMP-0187,35,Finance,Junior,Marketing,0.5,3394.35,No,1,4,2,0,3,Yes
EMP-0188,36,Finance,Junior,Technical,3.7,3240.28,No,3,2,13,0,0,No
EMP-0189,38,HR,Senior,Marketing,6.1,7952.13,No,2,3,8,0,4,Yes
EMP-0190,27,Engineering,Junior,Other,0.3,3294.41,Yes,3,2,20,0,3,No
EMP-0191,25,Marketing,Mid,Marketing,4.0,4933.02,No,2,3,1,0,2,No
EMP-0192,31,Marketing,Senior,Business,2.2,7787.1,Yes,3,3,2,0,3,No
EMP-0193,46,Engineering,Junior,Marketing,9.8,3645.19,Yes,2,1,1,1,1,No
EMP-0194,42,Customer Support,Junior,Marketing,7.6,3644.27,Yes,2,1,4,5,2,Yes
EMP-0195,29,Engineering,Junior,Marketing,1.2,3546.51,Yes,1,3,4,0,2,Yes
EMP-0196,41,Finance,Mid,Business,4.6,5501.18,No,4,2,4,3,3,No
EMP-0197,40,Finance,Mid,Technical,0.2,4509.16,No,3,3,2,0,1,No
EMP-0198,40,HR,Junior,Other,2.4,3306.38,No,3,3,16,2,2,No
EMP-0199,31,Engineering,Senior,Marketing,5.8,7892.16,No,1,1,9,1,1,Yes
EMP-0200,21,Customer Support,Senior,Technical,0.0,7033.25,No,2,3,1,0,1,No
EMP-0201,27,Sales,Mid,Marketing,0.5,4421.59,Yes,2,3,2,0,0,No
EMP-0202,21,Engineering,Senior,Marketing,0.0,8384.0,No,1,3,11,0,0,Yes
EMP-0203,21,Engineering,Junior,Other,0.0,3016.61,No,4,2,13,0,2,No
EMP-0204,32,Customer Support,Mid,Technical,0.3,4622.92,Yes,4,4,3,0,2,No
EMP-0205,26,Customer Support,Junior,Other,1.1,2886.08,No,4,4,4,0,1,No
EMP-0206,37,Customer Support,Mid,Marketing,0.1,4744.32,No,4,3,1,0,0,Yes
EMP-0207,36,Marketing,Mid,Technical,1.6,5496.97,No,3,4,1,0,3,No
EMP-0208,31,Customer Support,Junior,Technical,3.7,3286.46,No,2,3,17,3,0,Yes
EMP-0209,27,Engineering,Junior,Technical,1.1,3034.98,No,2,3,1,1,2,No
EMP-0210,24,Engineering,Senior,Technical,1.7,6936.2,No,2,3,6,0,3,No
EMP-0211,31,Marketing,Senior,Other,0.4,8546.52,No,4,2,21,0,1,No
EMP-0212,31,Engineering,Senior,Technical,1.5,7702.5,No,2,3,1,1,1,No
EMP-0213,24,Engineering,Junior,Business,1.4,3477.7,No,4,3,14,0,1,No
EMP-0214,31,Customer Support,Mid,Marketing,1.2,5036.42,Yes,3,3,34,1,7,Yes
EMP-0215,21,Sales,Mid,Technical,0.0,4585.69,No,3,2,11,0,1,No
EMP-0216,43,Sales,Senior,Other,0.6,6278.1,No,3,3,1,0,0,No
EMP-0217,42,Engineering,Mid,Marketing,14.4,5284.64,No,1,1,7,1,1,Yes
EMP-0218,23,Finance,Senior,Business,2.0,7039.69,No,2,3,8,2,3,Yes
EMP-0219,31,Sales,Mid,Other,3.8,4983.63,No,3,3,1,3,4,No
EMP-0220,31,Marketing,Mid,Business,1.3,4938.84,No,3,2,10,0,1,No
EMP-0221,39,Engineering,Lead,Other,2.6,10399.56,No,4,3,1,2,6,No
EMP-0222,29,Marketing,Junior,Business,4.8,3543.49,No,4,3,12,1,3,Yes
EMP-0223,28,Sales,Junior,Business,2.4,2798.0,No,4,4,9,1,1,No
EMP-0224,21,Marketing,Senior,Other,0.0,7073.34,No,2,1,3,0,3,No
EMP-0225,22,Sales,Senior,Business,1.0,7513.74,Yes,4,2,6,1,4,No
EMP-0226,35,Finance,Junior,Business,2.0,2869.23,No,4,3,3,1,3,No
EMP-0227,40,Customer Support,Junior,Technical,6.9,3102.85,No,3,4,6,4,3,No
EMP-0228,30,Customer Support,Mid,Other,2.3,4623.63,Yes,4,2,1,2,0,Yes
EMP-0229,46,HR,Junior,Business,11.4,3348.27,No,4,3,15,0,2,No
EMP-0230,33,Engineering,Lead,Technical,1.4,9189.04,Yes,2,2,6,1,1,No
EMP-0231,27,Engineering,Junior,Business,2.0,3807.25,No,3,2,1,0,1,No
EMP-0232,38,Sales,Junior,Other,0.6,3228.92,No,4,4,25,0,2,Yes
EMP-0233,46,Engineering,Junior,Technical,3.2,3261.99,No,3,3,1,1,2,No
EMP-0234,41,Customer Support,Junior,Technical,4.7,3304.6,No,1,1,1,4,2,No
EMP-0235,38,Sales,Mid,Marketing,3.0,5090.74,Yes,3,4,7,2,4,No
EMP-0236,34,Sales,Junior,Other,5.3,3535.88,Yes,2,3,6,4,5,Yes
EMP-0237,34,Sales,Junior,Other,7.6,2725.34,Yes,2,4,3,0,1,Yes
EMP-0238,31,Marketing,Junior,Business,2.5,3470.85,No,3,1,28,0,3,No
EMP-0239,21,HR,Senior,Marketing,0.0,8204.25,No,2,3,21,0,3,Yes
EMP-0240,31,HR,Junior,Marketing,1.3,3348.27,No,3,3,1,0,2,No
EMP-0241,30,HR,Mid,Technical,0.5,4208.36,No,4,2,40,0,3,No
EMP-0242,45,Customer Support,Junior,Technical,2.4,3722.79,Yes,3,3,40,0,2,No
EMP-0243,37,Sales,Junior,Marketing,1.1,3678.34,Yes,4,2,4,1,2,No
EMP-0244,34,Sales,Mid,Technical,1.9,4491.01,Yes,4,1,3,1,2,Yes
EMP-0245,47,Marketing,Mid,Business,0.9,5595.46,No,3,4,2,0,1,No
EMP-0246,27,Marketing,Junior,Other,2.1,3732.02,Yes,2,3,18,0,3,No
EMP-0247,49,Sales,Junior,Technical,3.4,3724.92,Yes,3,2,3,3,3,No
EMP-0248,36,Engineering,Senior,Technical,1.4,7010.54,No,3,1,15,0,2,No
EMP-0249,37,Engineering,Senior,Marketing,0.4,7285.14,No,1,3,13,0,1,Yes
EMP-0250,39,HR,Lead,Technical,4.9,8568.35,No,3,3,12,0,3,No
EMP-0251,36,Engineering,Junior,Other,0.3,3687.41,No,2,3,32,0,4,Yes
EMP-0252,21,Sales,Mid,Other,0.0,4810.31,No,1,4,1,0,3,Yes
EMP-0253,21,Finance,Lead,Other,0.0,10110.47,No,3,3,15,0,4,No
EMP-0254,30,Sales,Junior,Marketing,1.4,2947.79,Yes,3,3,6,1,4,No
EMP-0255,30,Sales,Mid,Business,5.9,4412.59,Yes,4,2,14,0,3,No
EMP-0256,39,Customer Support,Senior,Other,0.7,7799.79,No,4,3,23,0,3,No
EMP-0257,36,Engineering,Senior,Other,2.5,6522.27,No,2,4,1,1,3,Yes
EMP-0258,23,Sales,Senior,Technical,0.7,8171.47,Yes,3,2,1,0,2,No
EMP-0259,23,Engineering,Senior,Technical,1.4,8388.58,Yes,2,4,1,0,4,No
EMP-0260,28,Engineering,Senior,Other,0.2,7334.27,No,3,4,11,0,2,No
EMP-0261,37,Sales,Mid,Other,5.8,4584.96,No,1,2,1,1,2,Yes
EMP-0262,32,Sales,Junior,Business,4.5,3033.81,No,3,3,10,1,2,No
EMP-0263,44,Finance,Junior,Technical,1.3,3561.43,Yes,1,3,34,0,1,No
EMP-0264,36,HR,Senior,Marketing,1.5,7037.65,No,1,4,10,1,4,No
EMP-0265,33,Engineering,Junior,Business,12.0,3528.29,No,4,3,17,1,6,No
EMP-0266,45,Engineering,Senior,Marketing,3.0,7953.95,No,4,4,12,3,1,No
EMP-0267,26,Marketing,Junior,Business,1.0,2748.15,No,3,4,6,1,1,No
EMP-0268,47,Sales,Junior,Other,3.2,3513.16,No,3,3,12,2,0,No
EMP-0269,40,HR,Mid,Other,0.5,5664.68,No,2,3,1,0,3,No
EMP-0270,43,Finance,Senior,Other,0.3,6691.4,Yes,3,4,5,0,2,Yes
EMP-0271,21,Sales,Mid,Business,0.0,5339.5,Yes,3,1,5,0,1,No
EMP-0272,49,Finance,Senior,Technical,0.4,8353.42,No,2,2,3,0,2,Yes
EMP-0273,40,Customer Support,Junior,Marketing,0.6,3365.4,Yes,3,3,9,0,1,Yes
EMP-0274,28,Engineering,Senior,Business,1.3,8100.42,Yes,2,3,12,1,0,No
EMP-0275,27,Customer Support,Mid,Technical,5.7,4264.91,No,4,4,1,2,2,No
EMP-0276,49,Sales,Junior,Business,0.5,3744.43,Yes,4,2,1,0,3,No
EMP-0277,31,Customer Support,Mid,Technical,3.2,4507.92,Yes,3,2,1,0,4,No
EMP-0278,47,Marketing,Senior,Business,4.3,6289.16,No,4,3,5,1,1,No
EMP-0279,34,Engineering,Junior,Business,0.8,3736.92,No,2,3,1,0,1,No
EMP-0280,42,Engineering,Lead,Other,2.7,8806.49,No,4,2,7,1,2,No
EMP-0281,44,Sales,Junior,Other,0.0,3393.05,Yes,2,4,2,0,3,No
EMP-0282,21,Customer Support,Mid,Business,0.0,4422.92,Yes,2,2,5,0,1,Yes
EMP-0283,32,Finance,Junior,Marketing,3.5,2978.26,No,3,4,1,2,2,No
EMP-0284,37,Customer Support,Mid,Marketing,0.9,4897.71,Yes,4,4,9,0,2,No
EMP-0285,31,Sales,Junior,Technical,6.0,3057.0,Yes,2,2,19,3,2,Yes
EMP-0286,39,Sales,Junior,Technical,3.3,2901.78,No,3,4,8,0,3,No
EMP-0287,30,Engineering,Mid,Technical,3.1,4126.61,No,4,2,1,2,2,No
EMP-0288,23,Customer Support,Junior,Business,0.3,3553.44,Yes,4,3,1,0,1,Yes
EMP-0289,22,Customer Support,Lead,Business,1.0,10564.15,No,1,2,32,1,3,Yes
EMP-0290,50,Sales,Senior,Technical,4.2,7166.47,No,4,4,1,4,1,No
EMP-0291,27,Finance,Senior,Business,1.6,7393.65,Yes,4,4,2,1,0,Yes
EMP-0292,24,Marketing,Junior,Business,3.0,2991.65,No,1,2,1,2,0,No
EMP-0293,35,Sales,Lead,Technical,1.2,8435.35,No,1,3,3,1,5,No
EMP-0294,41,Marketing,Mid,Technical,4.0,5337.91,No,3,4,11,0,1,Yes
EMP-0295,21,Engineering,Junior,Business,0.0,3769.24,No,3,4,4,0,2,No
EMP-0296,24,Sales,Mid,Marketing,3.0,4504.79,No,4,2,5,0,2,No
EMP-0297,34,Sales,Mid,Technical,0.0,4580.91,No,3,4,13,0,1,No
EMP-0298,23,Sales,Lead,Business,0.8,8324.66,No,3,2,1,0,2,No
EMP-0299,23,Customer Support,Mid,Technical,2.0,4307.1,No,4,3,4,2,1,No
EMP-0300,51,Finance,Senior,Other,2.4,7712.44,Yes,4,3,1,2,5,No
EMP-0301,43,HR,Junior,Marketing,0.5,3316.97,No,4,4,5,0,2,No
EMP-0302,29,Sales,Junior,Other,2.5,3209.27,Yes,3,1,6,0,0,No
EMP-0303,36,Customer Support,Junior,Business,2.0,2992.39,No,3,4,26,1,2,No
